Genus,F_MC1,F_MC2,F_MC3,F_MC4,F_MC5,S_MC1,S_MC2,S_MC3,S_MC4,S_MC5,Total
g__Clostridium,2521334,2182292,1906310,2207068,2212162,1565948,1937782,1522620,1769476,1476648,49004028
g__Prevotella,840486,1280654,807976,1035036,810956,1321042,1069696,2121178,1407928,1309614,84782732
g__unclassified_d__Bacteria,657116,601402,583514,766814,732196,1003756,1217838,1222848,1054406,1032152,47667700
