Genus,F_JC1,F_JC2,F_JC3,F_JC4,F_JC5,S_JC1,S_JC2,S_JC3,S_JC4,S_JC5,Total
g__Clostridium,2394878,1873500,1795652,2528222,2426178,1592386,1676886,1538620,1649326,1703800,49004028
g__Prevotella,779526,807606,906148,1099710,847834,1167226,1166026,1647242,1211708,1953094,84782732
