Genus,F_LW1,F_LW2,F_LW3,F_LW4,F_LW5,S_LW1,S_LW2,S_LW3,S_LW4,S_LW5,Total
g__Alistipes,1278304,767786,897428,1474944,1145632,331300,323088,569998,670256,372702,62355298
g__Methanobrevibacter,1132716,501302,449484,809430,985024,1279876,1600504,1273602,1060778,1208914,21570008
