Taxon,0M1,0M2,0M3,0M4,0M5,1M1,1M2,1M3,1M4,1M5,2M1,2M2,2M3,2M4,2M5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Unclassified_Ruminococcaceae,0.001116731,0.005615751,0.002759346,0.008823139,0.003930045,0.004156221,6.56E-05,0.003213325,0.000196644,0.00098264,0.000720367,0.000846685,0.00347655,0.002554195,0.001438661
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Sediminibacterium,0.001248111,0.001717759,0.001839564,0.002056521,0.002882033,0.000197915,0.001836427,0.001049249,0.000721028,0.001179168,0.00091683,0.004624202,0.001508691,0.002161242,0.00196181
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Unclassified_Oxalobacteraceae,0.001839322,0.001849894,0.003416333,0.002255539,0.002030523,0.000197915,0.001508493,0.000852515,0.000131096,0.001179168,0.000327439,0.000260518,0.000196786,0.000720414,0.000523149
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Unclassified_Clostridiales;g__Unclassified_Clostridiales,0.000985351,0.003171247,0.000394192,0.006633939,0.001441017,0.004420108,0.00078704,0.002164076,0.000196644,0.000131019,0.000130976,0.000260518,0.002295835,0.00150632,0.000915511
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Ralstonia,0.001445182,0.001849894,0.002430852,0.001791164,0.002227026,0,0.00157408,0.000918093,0.000393288,0.001637733,0.000327439,0.000390778,0,0.000327461,0.000326968
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Unclassified_Sphingomonadaceae,0.001379492,0.001189218,0.001642468,0.001393127,0.001572018,0.000131944,0.000655867,0.000590203,0.000589932,0.000917131,0.000523903,0.002865703,0.000327976,0.000261969,0.000588543
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium,0.000722591,0.001453488,0.001708166,0.001459467,0.001506517,0.000329859,0.00118056,0.000655781,0.000393288,0.000524075,0.001309758,0.001367722,0.000983929,0.001702797,0.000588543
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified_Lachnospiraceae,0.00013138,0.002973044,0.000328494,0.005638848,0.002227026,0.001187492,0.00039352,0.002164076,0.000131096,0.000327547,6.55E-05,6.51E-05,0.00124631,0.000720414,0.000784724
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,0.000525521,0.000528541,0.000328494,0.00112777,0.001441017,0,0.00019676,0.013115614,0.000196644,0.000262037,0,6.51E-05,0.000196786,6.55E-05,0.000457756
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Unclassified_Rhodocyclaceae,0.000788281,0.000528541,0.000459891,0.000464376,0.000458505,0.000395831,0.00078704,0.001049249,0.00032774,0.001572224,0.000458415,0.000390778,0,0.000130984,0.000588543
