Taxon,0M1,0M2,0M3,0M4,0M5,1M1,1M2,1M3,1M4,1M5,2M1,2M2,2M3,2M4,2M5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Salinibacterium,0,6.61E-05,6.57E-05,0,0,0,0,0.000852515,0,0,0,0,0,0,0.000130787
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Trueperaceae;g__B-42,0,0,0,0,0,0,0,0.001311561,0,0,0,0.000130259,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Unclassified_Planococcaceae,0,0,0,0,0,0.001055548,0,0,0.000196644,0,6.55E-05,0,0.000131191,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,0,0,0.000131397,0.000199018,0,0.000197915,0,0,0,0,0,0.000130259,6.56E-05,6.55E-05,0.000261575
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Unclassified_Myxococcaceae,0.00019707,0.000132135,0.000197096,0,0.000131002,0,0,0,0,0,0,0,0.000196786,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Unclassified_Aeromonadaceae,6.57E-05,0,0.000197096,0.000132679,0.000327504,0,0,0,0,0,0.000130976,0,0,0.000130984,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Simplicispira,0,0,6.57E-05,0,0,0,0,0,0,0.000393056,0,0,6.56E-05,0.000392953,0.000130787
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio,0.00013138,0,0,0.000132679,0.000262003,0,0.000262347,0.000196734,0,0,0,0,6.56E-05,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum,0,0,0.000131397,0,0,0,0,0,0,6.55E-05,0,0.000130259,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas,0,0,0.000197096,0,0,0,0,0.000131156,0,0,0,0.000195389,0,0.000130984,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Unclassified_Erythrobacteraceae,0,6.61E-05,0,0,0,0,0,0.000655781,0,0,0,0.000455907,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium,6.57E-05,6.61E-05,0,0.000199018,0.000196502,0,0,0.000196734,0,0.000131019,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231,0,0,6.57E-05,0.000265358,6.55E-05,0,0,0.000131156,0,6.55E-05,0,0,0.000262381,0,0.000130787
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium,0,0.000132135,0,0,0,0,0,0.000131156,0,0.000131019,0,0,6.56E-05,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Unclassified_[Mogibacteriaceae],0.00013138,0,0,0.000331697,0.000196502,6.60E-05,0,0.000196734,0,0,0,0,6.56E-05,0,0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__Fimbriimonas,0.00013138,0.000132135,0,6.63E-05,0,0,0.000131173,0,0,6.55E-05,0,0.000325648,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Unclassified_Christensenellaceae,0,0,0.000197096,0,0.000131002,0.000131944,0,6.56E-05,0,0,0,0.000195389,0.000131191,6.55E-05,0.000130787
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces,6.57E-05,0,0.000131397,0,0.000131002,0,0,0,0,0,0,0,0,0,0.000653937
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Mannheimia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__Unclassified_0319-7L14;g__Unclassified_0319-7L14,0,0,0,0.000132679,0.000196502,0,0,0,0,0,0,0,0,0,0.000196181
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Unclassified_Sphingomonadales;g__Unclassified_Sphingomonadales,6.57E-05,0,0,0.000132679,0.000196502,0,0,6.56E-05,0,6.55E-05,0,0.000130259,6.56E-05,0,0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera,0.00013138,0.000132135,0,0.000464376,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Unclassified_Sphingobacteriales;g__Unclassified_Sphingobacteriales,0,0,0.000131397,0.000265358,0,0,0,0.000131156,0,0,0.000130976,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Unclassified_Pseudomonadaceae,0,0,6.57E-05,0.000132679,0,0,0,0,0,0.000196528,0,0,0,0,0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,0,0.000264271,0,6.63E-05,0.000196502,6.60E-05,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter,0,0,0,0,0,0,0,0.000459046,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Blastomonas,0,0,0,0,0,0,6.56E-05,0,0,0,0,0,0,0,0.000196181
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Phyllobacterium,0,0.000132135,6.57E-05,0,0,0,0,0,0,0,0,0.000260518,0.000131191,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,0,0.000198203,0,0.000265358,0.000262003,6.60E-05,0,0,0,0,0,0,0,0,6.54E-05
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma,0.00013138,6.61E-05,0,0.000132679,0.000131002,0,0,6.56E-05,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,0,0,6.57E-05,0.000398036,6.55E-05,0,0,0.000196734,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus,0,0,0,0.000132679,0,0,0,0,0,0,0,0,0,0.000130984,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Macrococcus,0,0,0,0,6.55E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter,6.57E-05,0,6.57E-05,0,0.000131002,0,0.000131173,0,0,0,0,0,0,0.000130984,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus,0,0.000132135,0,0,0.000131002,0,0,0,0,0,0.000196464,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Mycoplana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Unclassified_Geodermatophilaceae,0.00013138,0,0,0,0.000131002,0,0,0,0,0,0,0,0,0,0.000196181
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Unclassified_Streptomycetaceae,0,0,0,0,0.000458505,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__Unclassified_F16,0,0,6.57E-05,0.000265358,0,0.000197915,0,0.000196734,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Candidatus_Aquiluna,0,0,0,0.000132679,0,0,0,0.000131156,0,0.000131019,0,0,0,0,0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__KD8-87;f__Unclassified_KD8-87;g__Unclassified_KD8-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia,0,6.61E-05,0,0,0,0,0,0.000524625,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus,0,0,0,0.000132679,0,0,0,0.00032789,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Dechloromonas,6.57E-05,0,0,0.000132679,6.55E-05,0,0,0,0,0,0,0,0,6.55E-05,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Moritellaceae;g__Moritella,0,0,0.000131397,0,0,0,0,0,0,0,0,0,0,0,6.54E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Unclassified_Coriobacteriaceae,0,0,0,0.000199018,0,0,6.56E-05,0.000131156,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes,0,0,0.000131397,0,0.000393005,0,0,0,0,0,0,0,0,6.55E-05,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium,0,0,0,0.000199018,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia,0,0,0.000131397,6.63E-05,6.55E-05,0,0,0.000196734,0,0,0,0,6.56E-05,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter,0,0,0.000131397,6.63E-05,0.000131002,0,0,0,0,0,0,0,0,0,6.54E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Unclassified_Sinobacteraceae,0,0,0,0,0,0,0,0,0,0,0,6.51E-05,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Desemzia,0,0,0,0,0,0,6.56E-05,0.000459046,0,0,0,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae;g__Phormidium,0,0,0,0,0,0,0,0,0,0,0.000130976,0.000390778,0,0,0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Hymenobacter,0,0,0,0,0,0,0,0,0,0,0,0.000521037,0,0,0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__Unclassified_RF39;g__Unclassified_RF39,0,0.000132135,0,0.000132679,0,0,0,0.000131156,0,0,0,0,6.56E-05,0,0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GMD14H09;f__Unclassified_GMD14H09;g__Unclassified_GMD14H09,0,0,6.57E-05,0.000199018,0,0,0,0,0,0,0,6.51E-05,0.000131191,0,0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__Unclassified_Gemm-3;f__Unclassified_Gemm-3;g__Unclassified_Gemm-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130787
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas,0,0,0,0,0,0,6.56E-05,0,0,0,0,0,0.000262381,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Unclassified_Acidimicrobiales;g__Unclassified_Acidimicrobiales,0,0,0,0,0,0,0,0.000131156,0,0,0,0,6.56E-05,0,0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Unclassified_Elusimicrobiales;g__Unclassified_Elusimicrobiales,0,0,0,0,0,0,6.56E-05,6.56E-05,0,0,0.000130976,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,0,0,0,0,0.000196502,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Blastococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella,0,0,0,0.000132679,0,0,0,6.56E-05,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__Unclassified_Sporichthyaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Unclassified_Solibacterales;g__Unclassified_Solibacterales,0,0,0,0.000132679,0,0,0,0,0,0,0,0,6.56E-05,0,6.54E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter,0,0,0,6.63E-05,0.000131002,0,0,0.000131156,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Idiomarinaceae;g__Pseudidiomarina,0.00039414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__Unclassified_mb2424,6.57E-05,0,6.57E-05,0,0.000131002,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus,0,0,0,0,0,0,0,0,0,0.000196528,0,0,0,0.000196477,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BS11;g__Unclassified_BS11,0,0,0,6.63E-05,6.55E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter,0,0,0,0.000132679,0,0,0,0,0,6.55E-05,0,0,0,0.000130984,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium,6.57E-05,0,0.000131397,6.63E-05,0,0,0,0,0,0,0,0,6.56E-05,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Methyloversatilis,0,0,0,6.63E-05,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira,0,0,0,0,0.000131002,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Unclassified_Desulfovibrionaceae,0,0,0,0,6.55E-05,0,0,0.000131156,0,0,0,0,0,0,0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,0,0,0,0,0.000262003,0,6.56E-05,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5;g__Unclassified_p-2534-18B5,0,0.000132135,0,6.63E-05,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__Unclassified_YS2;g__Unclassified_YS2,0,0,0,0.000132679,6.55E-05,6.60E-05,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,0,0,0,0.000132679,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Salinicoccus,0,0,0,0.000132679,6.55E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Unclassified_Bacteroidaceae,0,0,0,0.000132679,0,0,0,0.000131156,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Unclassified_Caulobacterales;g__Unclassified_Caulobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__Unclassified_C111,0,6.61E-05,0.000131397,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,0.00013138,0,0.000131397,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Unclassified_Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Unclassified_Gaiellaceae,0,6.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,6.54E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,0,0,6.57E-05,0,0,0,6.56E-05,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryocola,0,0,6.57E-05,0,0,0,0,0,0,0,0,0,0,6.55E-05,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0,0,0.000197096,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,0.00013138,0,0,0,0,0,0,0.000131156,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Methylibium,0,0,6.57E-05,0,6.55E-05,0,0,0,0,0,0,0,6.56E-05,6.55E-05,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Azospira,0,0,0,0,6.55E-05,0,6.56E-05,0,0,0.000131019,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium,0,0,0,0,6.55E-05,0,0,0,0,0,0,0.000195389,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Mogibacterium,0,0.000132135,0,6.63E-05,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus],0,0,0,0.000132679,6.55E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__Unclassified_ML615J-28;g__Unclassified_ML615J-28,0,0,0,0.000132679,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__Unclassified_[Barnesiellaceae],0,0,0,6.63E-05,0,0,0,0,0,0,0,0,0,0.000130984,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus,0,0,0,6.63E-05,0,0,0,0,0,0,0.000130976,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,0,6.61E-05,0,0,6.55E-05,0,0,6.56E-05,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Limnohabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Unclassified_Bifidobacteriaceae,0,0,0,0,0,0,6.56E-05,0.000131156,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,0,0,0,0,6.55E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Unclassified_Peptococcaceae,0,0,0,0.000132679,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Unclassified_Erysipelotrichaceae,0,0,0,0.000132679,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia,0,6.61E-05,0,0,0,0,0,6.56E-05,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__YRC22,0,6.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Unclassified_Phyllobacteriaceae,6.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,6.55E-05,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium,0,0,0,0,0,0,0,0.000131156,0,0,0,0,0,0,0
k__Bacteria;p__WPS-2;c__Unclassified_WPS-2;o__Unclassified_WPS-2;f__Unclassified_WPS-2;g__Unclassified_WPS-2,0,0,0,0,6.55E-05,0,0,0,0,0,0,6.51E-05,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales;f__Unclassified_Natranaerobiales;g__Unclassified_Natranaerobiales,0,0,0,6.63E-05,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Unclassified_Rickettsiales;g__Unclassified_Rickettsiales,0,0,0,6.63E-05,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,0,6.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Succiniclasticum,0,6.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__Unclassified_RF32;g__Unclassified_RF32,0,6.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Unclassified_Elusimicrobiaceae,0,0,6.57E-05,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella,0,0,0,0,6.55E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Epulopiscium,0,0,0,0,6.55E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnobacterium,0,0,0,0,6.55E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
