#Taxonomy,S_JC2,S_MC1,F_LW2,F_JC4,F_MC1,F_JC5,F_MC3,S_MC2,S_MC4,S_MC3,S_LW3,S_JC1,F_MC4,S_JC3,N_F_LW1,F_LW4,S_MC5,S_LW4,F_MC2,F_LW3,F_JC3,S_JC4,S_LW2,F_LW1,F_JC1,S_LW5,F_JC2,F_LW5,S_LW1,F_MC5,S_JC5,Total
d__Bacteria;k__unclassified_d__Bacteria;p__Bacteroidetes,11733876,13384154,10580600,13279650,9862492,9720254,9749648,10285282,12409044,17405476,9488376,11705018,11970160,13458764,3207758,14671504,11032216,14608472,12502302,9921874,11115430,11254052,10512690,11379600,9139940,14038542,7734164,9817570,6628384,9266286,16499276,348362854
d__Eukaryota;k__Fungi;p__Microsporidia,88,64,14520,34,112,146,210,134,48,116,988,68,32,82,2124,1820,76,1398,208,9158,154,66,4976,7370,88,2810,256,9748,1610,120,154,58778
d__Archaea;k__unclassified_d__Archaea;p__Candidatus_Parvarchaeota,20,12,14,6,22,28,6,14,4,4,12,18,6,12,2,18,0,12,0,20,14,6,4,62,30,0,6,156,14,22,10,554
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Kuenenbacteria,24,32,26,20,220,72,28,62,10,20,18,32,10,14,2,0,28,26,16,16,46,18,106,40,162,32,20,164,16,52,22,1354
d__Bacteria;k__unclassified_d__Bacteria;p__Firmicutes,12074200,11644454,7622334,15055936,15821258,14954624,13082902,14014542,13644764,11084046,15832700,11399274,13185488,10552948,3602336,12108920,11727322,12837506,14282950,9981010,12197810,11998924,12181594,19779462,13981694,12105162,11574848,14200508,18478714,13991942,12972370,397972542
d__Bacteria;k__unclassified_d__Bacteria;p__Cloacimonetes,1878,5052,2256,770,830,1614,888,1452,2144,1678,2118,4538,628,1448,1456,3780,2100,3064,990,3554,894,2380,1604,6056,738,1964,892,2426,3928,1388,3032,67540
d__Archaea;k__unclassified_d__Archaea;p__Euryarchaeota,658416,966916,605378,441868,538516,406050,545930,1102200,838742,470700,1370156,936118,477532,629100,445056,972774,1356760,1147942,696906,587124,703644,656402,1699672,1453686,379438,1294802,339730,1195628,1391418,442676,780684,25531964
d__Bacteria;k__unclassified_d__Bacteria;p__Planctomycetes,59804,50264,23712,62886,54778,85918,44468,54302,46848,41308,26490,71540,49372,56168,11592,39970,58736,22246,38974,30144,43272,64996,30280,43100,57244,18196,36780,33114,19628,68632,76284,1421046
d__Archaea;k__unclassified_d__Archaea;p__Candidatus_Bathyarchaeota,7526,7010,1198,8678,8876,11482,6782,7860,6276,7964,1052,8082,7638,8100,446,2002,6036,1046,7958,1650,6626,6936,786,1834,8008,852,7910,3110,4662,10292,7446,176124
d__Eukaryota;k__Metazoa;p__Onychophora,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,42,0,0,0,84,0,0,0,246
d__Eukaryota;k__Metazoa;p__Arthropoda,2086,2836,236074,2294,2510,3798,1810,1960,2372,1746,21980,3154,2112,2004,15592,15612,2512,23678,1788,149226,1526,2698,97842,82454,2334,52128,1906,194886,25642,3316,3558,963434
d__Eukaryota;k__unclassified_d__Eukaryota;p__Phaeophyceae,230,234,7926,70,124,308,102,304,162,84,1128,200,36,188,432,1002,392,1120,72,5432,34,392,3860,3408,168,2104,112,7114,960,290,496,38484
d__Eukaryota;k__Fungi;p__Ascomycota,5058,7892,195224,7074,9524,6538,5016,5044,7252,4270,21354,7650,6202,5266,12130,16632,9904,25754,5854,126670,5220,7060,85588,83762,8596,46140,5768,163560,61630,5750,10524,973906
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Azambacteria,82,54,10,362,258,512,522,108,142,132,166,70,350,158,26,84,198,166,152,170,536,160,76,86,264,38,102,118,74,502,168,5846
d__Viruses;k__unclassified_d__Viruses;p__unclassified_d__Viruses,32140,20302,15590,14860,16560,15238,22588,28172,15638,15690,35116,31838,14918,25310,3798,13846,17016,22340,13672,32278,21454,34746,23942,20644,15940,23302,15340,19630,63084,14140,30212,689344
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Berkelbacteria,364,108,254,514,292,154,192,240,68,264,340,278,306,200,42,370,304,358,370,108,322,114,278,466,346,170,370,578,2476,214,304,10764
d__Bacteria;k__unclassified_d__Bacteria;p__Synergistetes,28338,32504,25626,26272,29924,28632,22748,31958,35680,25958,174666,35424,21838,26090,189430,224474,31066,172462,25722,245878,21976,29634,181566,589062,25708,75294,19262,331348,241864,25356,35782,3011542
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Campbellbacteria,6,76,0,32,76,22,0,40,8,20,10,64,6,46,0,2,6,14,96,16,14,4,16,0,28,26,68,48,6,18,16,784
d__Bacteria;k__unclassified_d__Bacteria;p__Caldiserica,376,282,122,498,644,876,536,326,534,190,394,340,462,224,52,298,250,200,500,132,434,438,308,326,446,260,280,706,184,880,278,11776
d__Eukaryota;k__Metazoa;p__Rotifera,60,16,4146,494,56,188,236,108,160,378,230,30,654,266,174,196,74,298,132,2222,274,126,1528,862,44,698,156,3912,148,214,90,18170
d__Eukaryota;k__Metazoa;p__Ctenophora,0,0,750,0,0,0,0,0,0,0,134,0,0,0,6,30,0,48,0,448,0,0,54,92,0,78,0,818,82,0,0,2540
d__Bacteria;k__unclassified_d__Bacteria;p__candidate_division_CPR1,338,54,2,92,216,468,60,196,50,116,20,202,52,232,0,14,142,94,94,14,76,172,18,54,252,18,200,14,12,416,280,3968
d__Bacteria;k__unclassified_d__Bacteria;p__candidate_division_CPR3,138,126,148,74,116,112,76,88,432,178,144,142,88,126,18,84,104,706,72,100,100,456,480,70,128,406,56,192,62,80,150,5252
d__Eukaryota;k__Fungi;p__Glomeromycota,1742,3204,37948,3312,1918,1934,2506,1610,3136,2410,5618,2992,2982,2164,2714,4318,2010,6980,2752,22942,2594,3360,15816,17364,1942,11424,2226,34988,11542,1988,3032,221468
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Falkowbacteria,120,216,28,176,224,210,290,124,136,98,136,290,160,228,68,124,216,176,210,136,218,148,136,218,208,90,156,124,82,186,326,5258
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Giovannonibacteria,222,154,102,222,176,284,106,180,92,110,178,254,190,216,58,196,196,212,466,276,68,142,178,256,172,166,300,174,216,202,330,6094
d__Eukaryota;k__Fungi;p__Cryptomycota,34,12,15818,8,16,8,6,10,0,8,1384,12,8,12,1020,872,4,1354,24,9224,6,54,6642,5302,12,3396,20,12214,1588,2,12,59082
d__Bacteria;k__unclassified_d__Bacteria;p__Latescibacteria,332,530,1124,326,358,508,192,304,334,348,396,772,244,556,122,360,718,200,146,360,280,464,342,646,434,212,192,374,216,394,1196,12980
d__Bacteria;k__unclassified_d__Bacteria;p__Armatimonadetes,2312,2544,1482,2916,2946,4284,1640,2116,2148,1874,3252,3506,2380,3246,596,3194,1962,1782,1774,2406,1652,3526,2124,3714,3228,1372,2410,2992,1478,3408,2680,76944
d__Bacteria;k__unclassified_d__Bacteria;p__Chrysiogenetes,1296,1200,336,1494,2192,1616,672,1094,1312,1088,736,1462,1044,1998,1004,566,1378,524,1124,972,822,2130,708,5572,2422,542,896,682,410,1652,2196,41140
d__Eukaryota;k__Fungi;p__Basidiomycota,1210,1032,58496,1400,2478,1412,668,1320,1000,2284,8824,1358,1150,2058,4302,5358,1662,8530,1228,41012,674,944,26374,25388,2542,16646,882,54664,9258,1174,2470,287798
d__Bacteria;k__unclassified_d__Bacteria;p__unclassified_d__Bacteria,1350632,1010930,2480088,837468,667924,808498,590442,1224120,1060942,1229936,2457380,955124,777186,880704,1195698,3446650,1039586,3311654,609552,3376634,619312,943582,3101300,4455222,631730,2430082,426956,2430406,2596378,741534,1380128,49067778
d__Eukaryota;k__Metazoa;p__Rhombozoa,0,0,108,0,0,0,0,0,0,0,2,0,0,0,50,12,0,20,0,52,0,0,52,52,0,8,0,2,8,0,0,366
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Parcubacteria,1156,1570,602,1342,1962,1200,784,830,922,1478,1288,1942,1244,1514,222,718,1216,1102,1394,698,716,1394,794,852,1800,912,918,932,986,1056,1876,35420
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Pacebacteria,42,412,80,70,52,52,16,26,18,32,80,444,56,60,68,156,632,50,40,42,28,52,66,168,50,82,42,94,76,34,886,4006
